時間軸（年月日現在）,全国・都道府県,/男女別・性比,男女計【千人】,男【千人】,女【千人】,人口性比【女性＝100】,男女計【千人】,男【千人】,女【千人】,人口性比【女性＝100】
2021年10月1日現在,全国,,"125,502","61,019","64,483",94.6,"122,780","59,687","63,094",94.6
2021年10月1日現在,北海道,,"5,183","2,446","2,737",89.4,"5,147","2,429","2,717",89.4
2021年10月1日現在,青森県,,"1,221",575,646,89.1,"1,216",573,642,89.3
2021年10月1日現在,岩手県,,"1,196",577,620,93,"1,189",574,615,93.3
2021年10月1日現在,宮城県,,"2,290","1,117","1,174",95.2,"2,269","1,107","1,162",95.2
2021年10月1日現在,秋田県,,945,446,499,89.3,941,444,497,89.5
2021年10月1日現在,山形県,,"1,055",511,544,93.8,"1,048",508,540,94.1
2021年10月1日現在,福島県,,"1,812",894,918,97.4,"1,799",888,911,97.5
2021年10月1日現在,茨城県,,"2,852","1,423","1,428",99.6,"2,785","1,389","1,396",99.5
2021年10月1日現在,栃木県,,"1,921",958,963,99.5,"1,880",938,942,99.6
2021年10月1日現在,群馬県,,"1,927",953,974,97.9,"1,866",922,944,97.6
2021年10月1日現在,埼玉県,,"7,340","3,646","3,694",98.7,"7,152","3,552","3,599",98.7
2021年10月1日現在,千葉県,,"6,275","3,111","3,164",98.3,"6,114","3,033","3,081",98.5
2021年10月1日現在,東京都,,"14,010","6,875","7,135",96.4,"13,459","6,606","6,853",96.4
2021年10月1日現在,神奈川県,,"9,236","4,584","4,652",98.5,"9,007","4,471","4,536",98.6
2021年10月1日現在,新潟県,,"2,177","1,057","1,120",94.4,"2,161","1,051","1,110",94.6
2021年10月1日現在,富山県,,"1,025",498,527,94.5,"1,008",490,518,94.5
2021年10月1日現在,石川県,,"1,125",546,579,94.3,"1,111",538,572,94.1
2021年10月1日現在,福井県,,760,371,389,95.3,746,364,381,95.6
2021年10月1日現在,山梨県,,805,395,410,96.4,789,388,402,96.6
2021年10月1日現在,長野県,,"2,033",994,"1,040",95.6,"1,999",978,"1,021",95.9
2021年10月1日現在,岐阜県,,"1,961",952,"1,009",94.3,"1,907",926,981,94.3
2021年10月1日現在,静岡県,,"3,608","1,778","1,829",97.2,"3,515","1,733","1,782",97.2
2021年10月1日現在,愛知県,,"7,517","3,746","3,771",99.3,"7,261","3,619","3,642",99.4
2021年10月1日現在,三重県,,"1,756",857,898,95.4,"1,705",831,873,95.2
2021年10月1日現在,滋賀県,,"1,411",696,715,97.3,"1,377",678,699,96.9
2021年10月1日現在,京都府,,"2,561","1,223","1,339",91.3,"2,505","1,195","1,310",91.2
2021年10月1日現在,大阪府,,"8,806","4,216","4,590",91.9,"8,565","4,097","4,468",91.7
2021年10月1日現在,兵庫県,,"5,432","2,582","2,850",90.6,"5,324","2,529","2,795",90.5
2021年10月1日現在,奈良県,,"1,315",619,696,89,"1,302",613,689,88.9
2021年10月1日現在,和歌山県,,914,431,483,89.2,907,428,479,89.4
2021年10月1日現在,鳥取県,,549,262,286,91.6,544,261,283,92
2021年10月1日現在,島根県,,665,322,343,93.7,655,317,338,93.7
2021年10月1日現在,岡山県,,"1,876",902,974,92.6,"1,847",888,959,92.6
2021年10月1日現在,広島県,,"2,780","1,347","1,432",94.1,"2,729","1,322","1,407",93.9
2021年10月1日現在,山口県,,"1,328",630,697,90.5,"1,312",623,689,90.4
2021年10月1日現在,徳島県,,712,340,372,91.4,706,338,368,91.7
2021年10月1日現在,香川県,,942,455,487,93.4,930,449,481,93.3
2021年10月1日現在,愛媛県,,"1,321",627,694,90.2,"1,309",621,688,90.2
2021年10月1日現在,高知県,,684,323,361,89.5,680,321,359,89.4
2021年10月1日現在,福岡県,,"5,124","2,425","2,698",89.9,"5,045","2,384","2,661",89.6
2021年10月1日現在,佐賀県,,806,382,424,90.1,800,379,420,90.3
2021年10月1日現在,長崎県,,"1,297",610,687,88.8,"1,288",606,682,88.8
2021年10月1日現在,熊本県,,"1,728",818,910,89.9,"1,712",811,901,90
2021年10月1日現在,大分県,,"1,114",529,585,90.4,"1,102",523,579,90.4
2021年10月1日現在,宮崎県,,"1,061",501,560,89.5,"1,054",498,556,89.6
2021年10月1日現在,鹿児島県,,"1,576",743,833,89.3,"1,565",739,826,89.5
2021年10月1日現在,沖縄県,,"1,468",723,745,97,"1,449",712,737,96.6
2022年10月1日現在,全国,,"124,947","60,758","64,189",94.7,"122,031","59,314","62,717",94.6
2022年10月1日現在,北海道,,"5,140","2,427","2,714",89.4,"5,098","2,407","2,692",89.4
2022年10月1日現在,青森県,,"1,204",568,636,89.2,"1,198",565,633,89.4
2022年10月1日現在,岩手県,,"1,181",570,611,93.3,"1,173",566,606,93.4
2022年10月1日現在,宮城県,,"2,280","1,112","1,168",95.2,"2,256","1,100","1,156",95.2
2022年10月1日現在,秋田県,,930,439,491,89.5,926,438,488,89.6
2022年10月1日現在,山形県,,"1,041",505,536,94.1,"1,033",502,532,94.3
2022年10月1日現在,福島県,,"1,790",884,906,97.6,"1,776",878,898,97.7
2022年10月1日現在,茨城県,,"2,840","1,418","1,422",99.7,"2,767","1,380","1,387",99.5
2022年10月1日現在,栃木県,,"1,909",952,956,99.6,"1,865",930,934,99.6
2022年10月1日現在,群馬県,,"1,913",947,966,98,"1,850",914,936,97.7
2022年10月1日現在,埼玉県,,"7,337","3,643","3,694",98.6,"7,136","3,542","3,594",98.5
2022年10月1日現在,千葉県,,"6,266","3,104","3,162",98.2,"6,100","3,024","3,076",98.3
2022年10月1日現在,東京都,,"14,038","6,889","7,149",96.4,"13,443","6,595","6,848",96.3
2022年10月1日現在,神奈川県,,"9,232","4,579","4,653",98.4,"8,991","4,459","4,531",98.4
2022年10月1日現在,新潟県,,"2,153","1,046","1,107",94.5,"2,136","1,039","1,097",94.7
2022年10月1日現在,富山県,,"1,017",495,522,94.8,998,485,513,94.6
2022年10月1日現在,石川県,,"1,118",543,575,94.4,"1,102",534,568,94.1
2022年10月1日現在,福井県,,753,368,385,95.6,738,361,377,95.8
2022年10月1日現在,山梨県,,802,394,408,96.6,784,385,398,96.7
2022年10月1日現在,長野県,,"2,020",988,"1,032",95.7,"1,984",971,"1,012",95.9
2022年10月1日現在,岐阜県,,"1,946",945,"1,001",94.4,"1,888",916,972,94.3
2022年10月1日現在,静岡県,,"3,582","1,766","1,816",97.3,"3,484","1,718","1,766",97.3
2022年10月1日現在,愛知県,,"7,495","3,734","3,761",99.3,"7,228","3,601","3,627",99.3
2022年10月1日現在,三重県,,"1,742",851,891,95.6,"1,689",824,865,95.3
2022年10月1日現在,滋賀県,,"1,409",695,714,97.4,"1,373",676,697,96.9
2022年10月1日現在,京都府,,"2,550","1,217","1,333",91.3,"2,485","1,185","1,300",91.1
2022年10月1日現在,大阪府,,"8,782","4,202","4,580",91.7,"8,524","4,074","4,450",91.5
2022年10月1日現在,兵庫県,,"5,402","2,567","2,835",90.5,"5,287","2,510","2,777",90.4
2022年10月1日現在,奈良県,,"1,306",614,691,88.9,"1,291",607,684,88.8
2022年10月1日現在,和歌山県,,903,426,477,89.2,896,423,473,89.3
2022年10月1日現在,鳥取県,,544,260,284,91.7,539,258,281,92
2022年10月1日現在,島根県,,658,318,340,93.8,648,314,334,93.8
2022年10月1日現在,岡山県,,"1,862",896,966,92.7,"1,832",881,951,92.6
2022年10月1日現在,広島県,,"2,760","1,338","1,422",94.1,"2,708","1,312","1,396",94
2022年10月1日現在,山口県,,"1,313",624,689,90.6,"1,297",616,681,90.5
2022年10月1日現在,徳島県,,704,336,368,91.5,698,334,364,91.8
2022年10月1日現在,香川県,,934,451,483,93.5,920,444,476,93.4
2022年10月1日現在,愛媛県,,"1,306",620,686,90.4,"1,294",614,680,90.2
2022年10月1日現在,高知県,,676,320,356,89.7,671,317,354,89.5
2022年10月1日現在,福岡県,,"5,116","2,423","2,693",90,"5,030","2,378","2,653",89.6
2022年10月1日現在,佐賀県,,801,380,421,90.3,793,377,417,90.4
2022年10月1日現在,長崎県,,"1,283",604,679,88.9,"1,272",599,674,88.9
2022年10月1日現在,熊本県,,"1,718",814,904,90.1,"1,699",806,894,90.2
2022年10月1日現在,大分県,,"1,107",526,581,90.6,"1,092",519,573,90.6
2022年10月1日現在,宮崎県,,"1,052",497,555,89.5,"1,044",494,551,89.7
2022年10月1日現在,鹿児島県,,"1,563",738,825,89.5,"1,550",733,817,89.7
2022年10月1日現在,沖縄県,,"1,468",723,746,96.9,"1,446",710,736,96.5
2023年10月1日現在,全国,,"124,352","60,492","63,859",94.7,"121,193","58,902","62,291",94.6
2023年10月1日現在,北海道,,"5,092","2,405","2,688",89.5,"5,041","2,380","2,661",89.4
2023年10月1日現在,青森県,,"1,184",559,626,89.3,"1,177",556,622,89.4
2023年10月1日現在,岩手県,,"1,163",562,602,93.3,"1,154",558,596,93.5
2023年10月1日現在,宮城県,,"2,264","1,105","1,160",95.2,"2,239","1,092","1,147",95.2
2023年10月1日現在,秋田県,,914,432,482,89.6,909,430,479,89.8
2023年10月1日現在,山形県,,"1,026",498,528,94.2,"1,018",494,523,94.5
2023年10月1日現在,福島県,,"1,767",873,894,97.7,"1,751",865,885,97.7
2023年10月1日現在,茨城県,,"2,825","1,412","1,412",100,"2,744","1,369","1,375",99.6
2023年10月1日現在,栃木県,,"1,897",948,950,99.8,"1,848",922,925,99.7
2023年10月1日現在,群馬県,,"1,902",942,960,98.2,"1,831",905,926,97.7
2023年10月1日現在,埼玉県,,"7,331","3,640","3,691",98.6,"7,113","3,527","3,586",98.4
2023年10月1日現在,千葉県,,"6,257","3,099","3,158",98.1,"6,081","3,013","3,068",98.2
2023年10月1日現在,東京都,,"14,086","6,914","7,172",96.4,"13,448","6,594","6,854",96.2
2023年10月1日現在,神奈川県,,"9,229","4,578","4,651",98.4,"8,970","4,447","4,523",98.3
2023年10月1日現在,新潟県,,"2,126","1,034","1,092",94.7,"2,107","1,026","1,082",94.8
2023年10月1日現在,富山県,,"1,007",490,516,95,987,480,507,94.8
2023年10月1日現在,石川県,,"1,109",539,570,94.5,"1,091",529,562,94.1
2023年10月1日現在,福井県,,744,364,380,95.7,729,357,372,95.9
2023年10月1日現在,山梨県,,796,391,404,96.8,776,382,394,96.8
2023年10月1日現在,長野県,,"2,004",981,"1,023",96,"1,965",963,"1,002",96.1
2023年10月1日現在,岐阜県,,"1,931",938,993,94.4,"1,868",906,961,94.3
2023年10月1日現在,静岡県,,"3,555","1,754","1,801",97.4,"3,449","1,702","1,748",97.4
2023年10月1日現在,愛知県,,"7,477","3,726","3,751",99.3,"7,195","3,584","3,611",99.2
2023年10月1日現在,三重県,,"1,727",844,882,95.7,"1,669",815,855,95.3
2023年10月1日現在,滋賀県,,"1,407",695,712,97.5,"1,367",673,694,96.9
2023年10月1日現在,京都府,,"2,535","1,210","1,325",91.3,"2,465","1,174","1,290",91
2023年10月1日現在,大阪府,,"8,763","4,191","4,572",91.7,"8,488","4,053","4,435",91.4
2023年10月1日現在,兵庫県,,"5,370","2,551","2,819",90.5,"5,247","2,490","2,758",90.3
2023年10月1日現在,奈良県,,"1,296",609,686,88.8,"1,279",601,678,88.7
2023年10月1日現在,和歌山県,,892,420,471,89.2,884,417,467,89.3
2023年10月1日現在,鳥取県,,537,257,280,91.9,532,255,277,92.2
2023年10月1日現在,島根県,,650,314,335,93.8,640,310,330,93.9
2023年10月1日現在,岡山県,,"1,847",889,958,92.7,"1,814",872,942,92.6
2023年10月1日現在,広島県,,"2,738","1,329","1,409",94.3,"2,682","1,299","1,383",93.9
2023年10月1日現在,山口県,,"1,298",618,680,90.8,"1,279",608,671,90.6
2023年10月1日現在,徳島県,,695,332,363,91.7,688,330,359,91.9
2023年10月1日現在,香川県,,926,448,478,93.7,910,439,470,93.4
2023年10月1日現在,愛媛県,,"1,291",613,678,90.5,"1,277",606,671,90.3
2023年10月1日現在,高知県,,666,316,351,90,660,312,348,89.7
2023年10月1日現在,福岡県,,"5,103","2,418","2,685",90.1,"5,011","2,369","2,642",89.7
2023年10月1日現在,佐賀県,,795,377,417,90.4,786,373,412,90.5
2023年10月1日現在,長崎県,,"1,267",598,670,89.2,"1,254",591,663,89.1
2023年10月1日現在,熊本県,,"1,709",811,898,90.3,"1,685",800,885,90.3
2023年10月1日現在,大分県,,"1,096",522,575,90.8,"1,079",513,566,90.6
2023年10月1日現在,宮崎県,,"1,042",492,550,89.6,"1,032",488,544,89.7
2023年10月1日現在,鹿児島県,,"1,549",732,817,89.6,"1,533",725,807,89.9
2023年10月1日現在,沖縄県,,"1,468",723,745,97,"1,443",708,734,96.5
2024年10月1日現在,全国,,"123,802","60,233","63,569",94.8,"120,296","58,450","61,846",94.5
2024年10月1日現在,北海道,,"5,043","2,382","2,661",89.5,"4,980","2,351","2,629",89.4
2024年10月1日現在,青森県,,"1,165",549,615,89.3,"1,157",546,611,89.3
2024年10月1日現在,岩手県,,"1,145",553,592,93.4,"1,134",548,586,93.6
2024年10月1日現在,宮城県,,"2,248","1,096","1,152",95.2,"2,219","1,082","1,137",95.1
2024年10月1日現在,秋田県,,897,424,473,89.7,891,422,469,89.9
2024年10月1日現在,山形県,,"1,011",491,520,94.3,"1,001",487,514,94.6
2024年10月1日現在,福島県,,"1,743",861,881,97.7,"1,724",853,872,97.8
2024年10月1日現在,茨城県,,"2,806","1,404","1,403",100.1,"2,716","1,355","1,362",99.5
2024年10月1日現在,栃木県,,"1,885",942,942,100,"1,830",914,916,99.7
2024年10月1日現在,群馬県,,"1,890",937,953,98.3,"1,811",894,917,97.6
2024年10月1日現在,埼玉県,,"7,332","3,640","3,691",98.6,"7,083","3,509","3,574",98.2
2024年10月1日現在,千葉県,,"6,251","3,094","3,158",98,"6,057","2,998","3,059",98
2024年10月1日現在,東京都,,"14,178","6,960","7,218",96.4,"13,463","6,599","6,864",96.1
2024年10月1日現在,神奈川県,,"9,225","4,576","4,649",98.4,"8,941","4,430","4,512",98.2
2024年10月1日現在,新潟県,,"2,099","1,021","1,078",94.7,"2,078","1,011","1,066",94.9
2024年10月1日現在,富山県,,997,486,511,95.2,974,474,500,94.8
2024年10月1日現在,石川県,,"1,098",534,564,94.6,"1,079",523,556,94.1
2024年10月1日現在,福井県,,739,361,377,95.8,721,353,368,96
2024年10月1日現在,山梨県,,791,389,402,96.9,769,378,391,96.8
2024年10月1日現在,長野県,,"1,987",973,"1,014",96,"1,945",953,992,96.1
2024年10月1日現在,岐阜県,,"1,916",930,985,94.4,"1,846",896,950,94.2
2024年10月1日現在,静岡県,,"3,527","1,740","1,787",97.4,"3,411","1,682","1,729",97.3
2024年10月1日現在,愛知県,,"7,460","3,717","3,742",99.3,"7,160","3,565","3,595",99.2
2024年10月1日現在,三重県,,"1,711",837,874,95.7,"1,649",804,845,95.2
2024年10月1日現在,滋賀県,,"1,402",693,710,97.6,"1,360",669,691,96.9
2024年10月1日現在,京都府,,"2,520","1,203","1,317",91.3,"2,441","1,162","1,279",90.9
2024年10月1日現在,大阪府,,"8,757","4,185","4,572",91.5,"8,453","4,032","4,421",91.2
2024年10月1日現在,兵庫県,,"5,337","2,535","2,802",90.4,"5,204","2,468","2,737",90.2
2024年10月1日現在,奈良県,,"1,285",604,681,88.7,"1,267",595,672,88.6
2024年10月1日現在,和歌山県,,880,415,465,89.2,871,411,460,89.3
2024年10月1日現在,鳥取県,,531,254,277,91.8,525,252,273,92.2
2024年10月1日現在,島根県,,642,311,331,94,631,306,325,94
2024年10月1日現在,岡山県,,"1,831",882,950,92.8,"1,795",863,932,92.5
2024年10月1日現在,広島県,,"2,714","1,318","1,396",94.4,"2,655","1,286","1,369",94
2024年10月1日現在,山口県,,"1,281",610,671,91,"1,260",599,661,90.7
2024年10月1日現在,徳島県,,685,328,358,91.7,678,325,353,92
2024年10月1日現在,香川県,,917,444,473,93.9,899,434,465,93.4
2024年10月1日現在,愛媛県,,"1,276",606,669,90.6,"1,259",597,661,90.3
2024年10月1日現在,高知県,,656,311,345,90.1,649,307,342,89.8
2024年10月1日現在,福岡県,,"5,092","2,413","2,678",90.1,"4,989","2,359","2,630",89.7
2024年10月1日現在,佐賀県,,788,375,414,90.5,777,369,408,90.6
2024年10月1日現在,長崎県,,"1,252",591,661,89.5,"1,237",583,654,89.3
2024年10月1日現在,熊本県,,"1,697",806,891,90.4,"1,669",793,877,90.5
2024年10月1日現在,大分県,,"1,085",517,568,90.9,"1,066",507,559,90.7
2024年10月1日現在,宮崎県,,"1,033",488,545,89.7,"1,021",483,538,89.8
2024年10月1日現在,鹿児島県,,"1,532",724,807,89.7,"1,513",717,796,90
2024年10月1日現在,沖縄県,,"1,466",722,744,97,"1,437",705,732,96.4
